氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メールアドレス,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
大平 大悟,おおひら だいご,57,1964年08月08日,男,A,ohira_88@example.net,03-8911-4240,080-1253-6495,163-3748,東京都世田谷区世田谷1丁目1番9号,株式会社オーブ,3536090990743385,10/23,543860388239
渡辺 円香,わたなべ まどか,30,1991年04月07日,女,O,watanabe_madoka@example.ne.jp,06-8911-1714,050-1701-1668,534-4120,大阪府泉大津市池浦町3-2-504,株式会社佐々木商店,3587539163181326,12/25,637038060218
犬飼 央,いぬかい ひろし,39,1982年03月11日,男,A,hisashi_inukai@example.ne.jp,0463-09-7280,070-0452-1035,225-7840,神奈川県相模原市南区相南1丁目2番地8号,株式会社アネックス,4276714234625684,10/26,883532607441
吉岡 詠美子,よしおか えみこ,66,1955年03月08日,女,AB,yoshioka_emiko@example.ne.jp,03-2570-6536,090-6523-4496,183-7208,東京都世田谷区桜上水3-5-203,,374419926143033,08/26,647480702402
町田 敬一,まちだ けいいち,50,1971年09月15日,その他・不明,A,machida915@example.org,01632-3-2604,070-7914-7576,085-9035,北海道帯広市東四条南1-4-9,有限会社アルファー,4439879570266239,12/24,293043871525
菅野 健,かんの けん,59,1962年05月28日,男,A,kanno528@example.ne.jp,03-9301-8290,070-9163-8454,165-0908,東京都大田区池上4丁目2番地5号,株式会社アクティブ,5505605104527762,07/23,078760897972
松雪 侑子,まつゆき ゆうこ,68,1953年07月18日,女,B,yuko_matsuyuki@example.com,06-2402-4194,070-3700-0565,582-1579,大阪府大阪市中央区高麗橋1-3-17,,3554312796709106,02/23,199174229245
芳賀 誠二,はが せいじ,56,1965年08月11日,男,A,haga811@example.ne.jp,03-5961-8023,080-9037-1808,189-0498,東京都清瀬市中里4丁目2番地4号,株式会社YSK,4179437208936121,01/23,571345706078
奥野 秀幸,おくの ひでゆき,41,1980年03月13日,男,B,hideyukiokuno@example.com,03-2571-9372,070-0708-1389,113-5553,東京都足立区竹の塚3丁目1番8号,有限会社一光,3548376810261542,09/25,980109597273
植村 貴一,うえむら きいち,75,1946年07月28日,男,B,kiichiuemura@example.net,03-5156-4900,090-8337-0425,169-5813,東京都品川区西五反田4丁目2番9号,,379266289761082,02/26,613439150124
綿引 純矢,わたひき じゅんや,67,1954年05月16日,その他・不明,A,junyawatahiki@example.co.jp,03-8412-9235,050-4458-7030,172-2492,東京都八王子市散田町1-3-15,,5116290129811565,02/22,183837998368
嶋崎 和也,しまざき かずや,63,1958年06月01日,男,O,shimazaki_61@example.com,03-0806-2490,090-9186-9950,181-2184,東京都杉並区高円寺南4丁目3番地6号,,375769811421392,02/24,217001847910
竹山 栄子,たけやま えいこ,71,1950年08月26日,女,A,eiko_takeyama@example.co.jp,0767-87-0739,070-6260-4139,923-8027,石川県金沢市増泉2丁目1番7号,,3549270165650772,08/23,765469486326
黒川 正美,くろかわ まさみ,33,1988年09月20日,男,A,kurokawamasami@example.org,0575-40-7824,070-6310-1129,502-1754,岐阜県関市平和通3-3-14,株式会社フルハウス,3551145391559002,09/22,504460190078
栗原 一隆,くりはら かずたか,56,1965年08月25日,男,B,kazutakakurihara@example.ne.jp,0940-19-1372,080-0342-5819,839-7412,福岡県福岡市博多区博多駅前4丁目3番地9号,株式会社ミツワ,5413732174588192,01/23,740804943483
渡辺 宏明,わたなべ ひろあき,73,1948年08月16日,男,A,hiroaki_watanabe@example.com,0574-68-8890,070-8605-2991,501-0304,岐阜県岐阜市日野南4丁目1番5号,,5545434332456336,04/24,528668788992
溝口 由希,みぞぐち ゆき,68,1953年11月25日,女,B,mizoguchiyuki@example.co.jp,06-7719-9387,050-8456-7921,552-8267,大阪府大阪市中央区南船場4丁目1番地10号,,370510022731913,12/21,398973623820
後藤 崇志,ごとう たかし,38,1983年11月01日,男,O,goto_111@example.jp,0178-11-0318,070-4106-4119,038-2943,青森県八戸市下長3-4-9,株式会社NEXT,3579286686681792,11/22,704197011294
吉田 康志,よしだ やすゆき,33,1988年08月21日,男,O,yasushi_yoshida@example.jp,03-9509-3862,070-0952-2547,172-2165,東京都江戸川区東小松川3-2-17,有限会社吉田工業,3579021277179751,09/23,735113867485
横内 康裕,よこうち やすひろ,36,1985年03月16日,男,B,yokouchi316@example.org,03-1004-7220,070-0344-1736,166-1815,東京都国立市富士見台1丁目3番9号,株式会社佐藤建設,5567190415021388,12/23,006441970151
田邊 達則,たなべ たつのり,65,1956年11月18日,男,O,tatsunori_tanabe@example.org,076-283-2951,050-5527-9143,928-5677,石川県野々市市本町2丁目2番地3号,,3563312946036862,05/26,552351921440
