氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メールアドレス,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
西野 崇,にしの たかし,37,1984年03月31日,男,A,nishinotakashi@example.ne.jp,06-6950-5056,090-2271-2737,539-4320,大阪府大阪市北区大淀中4丁目3番9号,株式会社大貴,5552874659090970,06/26,326267341411
中橋 あすか,なかはし あすか,75,1946年08月09日,女,A,nakahashiasuka@example.ne.jp,0980-37-1610,070-1964-3864,906-9239,沖縄県那覇市古波蔵1-2-18,,3535171147554072,10/26,147671283652
安藤 恭介,あんどう きょうすけ,62,1959年08月23日,男,A,ando823@example.ne.jp,03-8673-9682,090-1165-7038,128-5055,東京都新宿区北新宿1-5-21,,3547046419318594,01/23,761447859000
下元 良太,しももと りょうた,59,1962年09月20日,男,B,shimomoto920@example.ne.jp,0798-69-2552,090-5234-1965,669-4327,兵庫県神戸市中央区二宮町2-4-5,有限会社ベルウッド,4136142711388016,11/25,129453528670
野口 洋,のぐち ひろし,41,1980年04月17日,男,O,noguchi_hiroshi@example.org,03-9476-7532,080-8338-8060,179-6461,東京都国分寺市西恋ヶ窪2丁目1番10号,株式会社三和商会,373871226288739,07/25,621032788950
木村 仁,きむら ひとし,67,1954年08月17日,男,O,hitoshi_kimura@example.jp,06-7901-0752,090-1885-8612,530-8127,大阪府大阪市中央区道修町1-4-13,,377300340974053,05/23,201293306848
山田 奈津子,やまだ なつこ,36,1985年08月31日,女,A,yamadanatsuko@example.jp,045-860-5840,050-0288-8345,231-2812,神奈川県横浜市青葉区美しが丘2-2-1102,株式会社山久,5510568289938373,07/23,760721925530
和智 稔,わち みのる,53,1968年06月02日,男,B,wachi_62@example.net,0798-01-6865,090-5138-6568,655-5028,兵庫県神戸市北区唐櫃台3-3-12,株式会社ユニティー,3572409381845044,01/24,706184521610
藤崎 満,ふじさき みちる,47,1973年12月29日,女,B,mitsuru_fujisaki@example.net,03-7842-2375,080-6216-2231,167-5394,東京都千代田区外神田3-4-14,有限会社中村商店,5360954358061548,02/23,058184793626
石田 弘充,いしだ ひろみつ,29,1992年01月28日,男,A,hiromitsuishida@example.jp,053-366-9680,070-3726-7090,420-4623,静岡県富士市横割1丁目1番8号,株式会社エイコー,379696640913073,05/26,503740485328
郡司 和人,ぐんじ かずと,65,1956年03月08日,男,O,gunji38@example.org,03-3794-6204,080-2539-9992,134-4719,東京都港区虎ノ門3丁目1番5号,,5529331770157188,04/25,850429466915
鶴野 春菜,つるの はるな,38,1983年05月29日,女,A,harunatsuruno@example.com,03-5760-2362,090-5957-8130,158-0075,東京都港区芝浦3-2-9,有限会社吉田工業,371148945279139,07/24,481514614138
鈴木 容子,すずき ひろこ,80,1941年01月21日,女,O,suzuki121@example.jp,052-501-9520,070-2448-4501,456-1475,愛知県春日井市八光町3-5-1104,,373688365581850,10/25,794191285430
井上 淳,いのうえ じゅん,79,1942年07月18日,男,A,juninoue@example.net,03-7517-6014,090-3336-0031,113-3976,東京都港区南麻布3丁目1番地3号,,376446018382987,06/25,465642257067
西山 真木子,にしやま まきこ,41,1980年03月08日,女,O,nishiyama_makiko@example.co.jp,06-8493-1232,070-7165-6545,552-6893,大阪府守口市大日町1丁目1番5号,有限会社協和工業,372179094556240,03/25,718607889935
