氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メールアドレス,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
渡邉 恵,わたなべ めぐみ,59,1962年03月26日,女,B,watanabe_megumi@example.org,06-3405-6354,070-5923-9192,554-3576,大阪府大阪市西区北堀江3-5-17,株式会社ケイ,4338650416946272,01/22,888683917517
竹村 愛子,たけむら あいこ,31,1990年05月26日,女,A,aikotakemura@example.net,06-0453-3721,080-0587-8612,589-3311,大阪府大阪市東住吉区公園南矢田3丁目2番8号,佐藤建設株式会社,4983507699913734,01/24,633738459523
岡本 浩樹,おかもと ひろき,26,1995年02月05日,男,O,okamotohiroki@example.co.jp,06-8994-9141,080-4625-6697,578-2368,大阪府大阪市淀川区西中島3丁目1番5号,有限会社ホープ,374212466951307,03/26,129959881947
木村 綾,きむら あや,75,1946年10月10日,女,O,ayakimura@example.ne.jp,082-280-5897,050-5304-1825,722-2828,広島県広島市安佐南区長束西4丁目2番4号,,5279797829428980,11/24,044364174176
岸本 あづさ,きしもと あづさ,40,1981年02月25日,女,A,kishimoto_azusa@example.co.jp,04-1948-4678,080-8763-4613,362-6419,埼玉県川越市砂新田4丁目3番6号,株式会社スクラム,4087575712630820,06/22,370193945068
甲斐 洋志,かい ひろし,55,1966年07月02日,男,B,kai_72@example.ne.jp,03-5156-9368,080-3464-4445,128-9035,東京都港区芝3-2-21,有限会社光栄,5452053701408263,05/25,458215649462
池田 啓悟,いけだ けいご,56,1965年03月28日,その他・不明,B,ikeda328@example.jp,03-7086-3633,090-5710-5241,126-8335,東京都江東区北砂2丁目1番地9号,株式会社悠,5181808189540111,12/22,190279966205
佐古 一義,さこ かずよし,78,1943年08月23日,男,B,kazuyoshi_sako@example.net,06-0425-6644,090-9883-3203,573-3915,大阪府大阪市北区天満3-5-3,,371250104818127,02/22,023606858213
小沢 卓哉,おざわ たくや,41,1979年12月06日,男,A,ozawa_126@example.jp,06-4056-9166,050-7535-1515,570-8658,大阪府大東市野崎2-4-15,株式会社アポロ,3584387791972119,12/24,406834445529
伊藤 啓子,いとう けいこ,31,1990年01月06日,女,O,itokeiko@example.net,044-937-8307,050-8537-6093,228-6725,神奈川県鎌倉市大船1丁目1番3号,有限会社エコテック,5334398502452117,05/25,291196656973
