氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メールアドレス,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
長島 勝,ながしま まさる,74,1947年05月15日,男,AB,nagashima_515@example.net,046-399-4785,070-6802-7218,217-8405,神奈川県藤沢市石川1丁目2番9号,,3557612957735056,02/24,859740116860
立川 瑞貴,たちかわ みずき,31,1990年08月30日,女,O,mizuki_tachikawa@example.com,03-6667-4928,080-8598-0818,123-0900,東京都台東区台東3丁目2番5号,株式会社協和,4484213044355846,04/26,061861006505
加藤 直樹,かとう なおき,54,1967年07月31日,男,A,kato_731@example.com,042-141-9688,070-2960-5666,364-9931,埼玉県春日部市南2-5-107,株式会社ツカサ,374306007244782,10/23,125086065930
平山 大介,ひらやま だいすけ,43,1977年12月26日,男,O,daisukehirayama@example.ne.jp,03-4048-0084,070-7892-0240,157-1260,東京都港区六本木1-5-16,有限会社伊藤工業,370552936264052,01/26,937278571639
奥谷 直美,おくたに なおみ,77,1944年10月04日,女,AB,okutani_104@example.ne.jp,0479-79-4942,090-5989-8331,269-3822,千葉県船橋市本町2丁目3番地8号,,5228242026690159,03/26,845362514177
中岡 英俊,なかおか ひでとし,79,1942年04月17日,男,A,hidetoshi_nakaoka@example.ne.jp,0799-92-4961,070-8070-4541,674-1629,兵庫県三田市すずかけ台4丁目2番10号,,378725258171301,01/26,879358977490
高橋 仁一,たかはし よしかず,59,1962年09月24日,男,O,takahashi924@example.jp,045-818-0815,070-4458-5253,222-6064,神奈川県海老名市国分寺台4丁目1番7号,株式会社ミユキ,5290518664149100,09/26,058066494770
土屋 裕一,つちや ゆういち,74,1947年02月06日,男,B,yuichi_tsuchiya@example.net,03-2271-7704,080-8323-1431,170-3575,東京都墨田区亀沢3丁目1番5号,,377506602600380,05/24,782255461590
鈴木 留美,すずき るみ,77,1944年04月07日,女,A,rumisuzuki@example.co.jp,0163-14-7225,090-9313-3443,058-0395,北海道釧路市錦町2-1-19,,376589535580201,08/23,136569307995
丹澤 実穂,たんざわ みほ,25,1996年08月02日,女,O,miho_tanzawa@example.ne.jp,03-5070-7992,090-4966-2469,133-3064,東京都足立区青井1丁目3番8号,有限会社サンフラワー,371425065148538,12/25,038172769117
迫 ヒロユキ,さこ ひろゆき,71,1950年05月30日,男,A,hiroyuki_sako@example.org,03-8447-3999,050-4339-8737,135-2467,東京都杉並区高円寺南3-5-10,,5593666499927457,12/21,164767622387
竹村 誠治,たけむら せいじ,51,1970年06月22日,男,A,seijitakemura@example.com,0532-10-6503,050-8025-8611,481-5666,愛知県名古屋市中区栄2-1-22,株式会社TAKUMI,5108720414609811,08/26,772665509233
櫻井 秀信,さくらい ひでのぶ,67,1954年03月20日,男,B,hidenobu_sakurai@example.jp,03-2537-2397,090-2040-2926,181-3863,東京都品川区小山4丁目1番9号,,5247988313821249,07/25,072499891564
