氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メールアドレス,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
長野 淳史,ながの あつし,30,1991年06月18日,男,AB,nagano618@example.ne.jp,0791-67-8865,080-5631-3415,663-3407,兵庫県神戸市中央区加納町2-3-21,株式会社佐藤,4623658088655794,01/23,712370873232
坂本 朋子,さかもと ともこ,69,1952年11月09日,女,O,tomokosakamoto@example.org,06-3564-0011,070-9390-0088,552-3870,大阪府大阪市西淀川区姫島1丁目2番地9号,,3546135437935587,08/24,655813024817
深谷 賢一,ふかや けんいち,51,1970年06月09日,男,AB,kenichifukaya@example.com,03-3736-6295,050-5980-2465,110-8985,東京都板橋区板橋2-1-5,有限会社山田工務店,378742346330567,12/25,472074343413
水谷 和宏,みずたに かずひろ,27,1994年10月06日,男,O,mizutani_106@example.com,0865-55-7934,080-4844-6016,715-3870,岡山県岡山市南区浜野1丁目3番4号,株式会社松本工務店,4232311033267538,10/25,973129228022
仲沢 紀子,なかざわ のりこ,57,1964年01月25日,女,O,nakazawanoriko@example.org,0545-84-0632,090-0898-7858,432-2354,静岡県静岡市駿河区登呂1丁目1番8号,有限会社オーク,3531524577538136,07/22,312864525085
佐藤 裕俊,さとう ひろとし,41,1980年06月30日,男,B,hirotoshi_sato@example.ne.jp,03-0404-5092,090-4128-0428,132-1701,東京都大田区下丸子2-5-18,株式会社クラフト,5356438965647622,03/25,757505788749
山口 佑樹,やまぐち ゆうき,40,1981年05月29日,男,B,yamaguchi529@example.ne.jp,0532-50-7994,050-5254-7285,475-8981,愛知県半田市瑞穂町2-2-6,株式会社タクミ,5442221802539533,07/25,024420298834
川口 淳子,かわぐち じゅんこ,78,1943年10月05日,女,AB,kawaguchijunko@example.org,045-162-3788,090-0899-4118,233-8075,神奈川県綾瀬市綾西1丁目2番地9号,,5323820690173141,12/22,727506245963
石堂 敬一,いしどう けいいち,29,1992年09月08日,男,O,ishido98@example.ne.jp,0868-91-7103,050-2436-1353,708-9991,岡山県倉敷市天城台4丁目1番地6号,株式会社アクティブ,3546629722305225,04/26,260375447829
小畑 あさみ,おばた あさみ,35,1986年06月03日,女,B,asami_obata@example.jp,0460-21-7794,090-3824-0056,235-1517,神奈川県横浜市港北区樽町1丁目3番6号,有限会社阿部工業,4247495318459655,01/23,447850461222
