氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メールアドレス,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
尾仲 和貴,おなか かずき,23,1998年10月10日,男,AB,kazutaka_onaka@example.net,03-4082-5114,090-8934-1146,162-7295,東京都品川区小山2-4-16,株式会社アドヴァンス,4857276528458203,09/22,648433272501
佐藤 和子,さとう かずこ,61,1960年10月30日,女,A,sato_1030@example.co.jp,03-6272-7331,050-1696-5027,166-7861,東京都足立区一ツ家1-1-13,,4873561832224361,11/25,267997822770
西條 佳代,さいじょう かよ,77,1944年07月22日,女,O,saijo_722@example.ne.jp,098-575-2561,080-8834-0368,906-3972,沖縄県宜野湾市嘉数2丁目2番7号,,379901541012094,01/26,313564224047
赤松 朗子,あかまつ あきこ,48,1973年01月26日,女,O,akamatsu_akiko@example.org,06-7433-8076,090-1889-2876,554-1056,大阪府大阪市住吉区長居東3-5-5,有限会社エクセル,5473419552099292,10/24,123615755588
半田 倫代,はんだ みちよ,66,1955年08月06日,女,O,michiyohanda@example.com,0436-32-2884,070-8126-9301,286-9703,千葉県柏市光ケ丘3-4-11,,4157696507532875,01/24,694982754315
今枝 直孝,いまえだ なおたか,61,1960年07月29日,男,A,imaedanaotaka@example.co.jp,0438-35-8281,070-4222-1401,297-5977,千葉県船橋市南三咲2-1-12,,5152730405351021,03/24,953176524208
大河原 学,おおかわら まなぶ,50,1971年07月02日,男,O,okawaramanabu@example.co.jp,0531-24-6432,050-7516-5350,496-3880,愛知県名古屋市西区枇杷島4丁目1番地9号,株式会社マツモト,5475093568955561,08/26,534912006608
森 航太,もり こうた,73,1948年06月30日,男,AB,morikota@example.com,03-4671-1416,050-7221-6878,176-0816,東京都練馬区早宮3丁目1番地9号,,4846555247785531,03/24,052974174189
長谷川 浩,はせがわ ひろし,34,1987年04月04日,男,O,hiroshi_hasegawa@example.ne.jp,03-1848-2809,050-8452-7684,197-4848,東京都江東区豊洲4丁目3番3号,有限会社クエスト,5118580940491417,06/22,021302752238
井上 佳織,いのうえ かおり,38,1983年02月25日,女,O,kaori_inoue@example.net,03-6338-0998,070-7775-6370,123-9485,東京都世田谷区若林3-1-902,有限会社橋本商店,5109373100119882,11/26,597559857781
深谷 充,ふかや みつる,26,1995年02月22日,男,B,fukayamitsuru@example.net,0257-02-9572,070-3336-6931,949-0671,新潟県小千谷市千谷川1-2-803,株式会社スプラウト,3577403555516098,11/25,797343887383
林 奈美子,はやし なみこ,26,1995年06月08日,男,B,hayashi_namiko@example.co.jp,06-3103-7579,080-4820-1334,581-0971,大阪府大阪市東淀川区東淡路3-5-19,株式会社ホクシン,4797778269445649,02/23,289783829754
原 由紀,はら ゆき,71,1950年08月20日,女,O,yukihara@example.ne.jp,0466-61-2143,090-8224-3769,214-9356,神奈川県横浜市中区石川町3丁目3番3号,,370081557009919,07/22,139390067753
小田 和貴,おだ かずき,77,1944年05月10日,その他・不明,O,oda_kazutaka@example.net,03-9740-0651,080-2414-9206,138-6739,東京都目黒区上目黒2丁目3番8号,,3551014960824389,04/22,777046603073
佐藤 伸吾,さとう しんご,51,1970年01月24日,男,O,shingosato@example.ne.jp,03-6604-4025,050-8677-3342,153-5299,東京都品川区豊町1丁目2番3号,アルファ株式会社,377720411567892,11/22,437188657124
福井 桃子,ふくい ももこ,33,1988年05月01日,女,O,fukui51@example.jp,0947-22-2090,090-3962-6075,837-3912,福岡県福岡市南区井尻2-4-14,,373352464576606,03/24,811580958174
鈴木 友章,すずき ともあき,28,1993年03月12日,男,B,tomoakisuzuki@example.com,06-9197-2706,050-7650-9041,595-1766,大阪府和泉市池上町2-5-6,株式会社トリム,5326291987395804,12/24,945238130110
原田 聖佳,はらだ きよか,44,1977年03月07日,女,O,harada_kiyoka@example.org,03-7734-7686,080-4614-4115,209-2701,東京都港区赤坂3-3-3,株式会社エクセル,371617548688656,11/26,127509681503
宮脇 めぐみ,みやわき めぐみ,58,1963年01月27日,女,B,megumi_miyawaki@example.jp,03-0766-0372,050-5008-9038,125-6735,東京都世田谷区桜上水2-2-13,有限会社サンシャイン,5500694854158460,01/23,542650154336
山田 万里,やまだ まり,51,1970年07月05日,女,O,yamada75@example.net,03-1024-0089,050-4487-1667,146-5725,東京都渋谷区神宮前3-3-301,有限会社大塚工業,374212170026461,11/25,470549972566
